Performer,Song,spotify_genre
The Alan Parsons Project,(The System Of) Doctor Tarr And Professor Fether,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
Ferrante & Teicher,"(Theme From) ""Goodbye Again""","['adult standards', 'easy listening', 'exotica', 'lounge']"
Ernie Freeman,"(Theme from) ""The Dark At The Top Of The Stairs""",['space age pop']
Dick Roman,(Theme from) A Summer Place,
Jimmy Smith,(Theme From) Any Number Can Win,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']"
Henry Mancini And His Orchestra,(Theme from) Charlie's Angels,[]
Henry Mancini And His Orchestra,(Theme From) Love Story,[]
Lawrence Welk And His Orchestra,(Theme from) My Three Sons,[]
The Ventures,(Theme From) Silver City,"['rock-and-roll', 'rockabilly', 'surf music']"
Henry Mancini And His Orchestra,(Theme from) The Great Impostor,[]
Mantovani & His Orchestra,(Theme From) The Sundowners,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
Dionne Warwick,(Theme From) Valley Of The Dolls,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Dorsey Burnette,(There Was A) Tall Oak Tree,['traditional rockabilly']
Bobby Vee,(There'll Come A Day When) Ev'ry Little Bit Hurts,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Stacie Orrico,(There's Gotta Be) More To Life,"['candy pop', 'dance pop', 'europop']"
Perry Como,(There's No Place Like) Home For The Holidays,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
Dionne Warwick,(There's) Always Something There To Remind Me,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Lou Johnson,(There's) Always Something There To Remind Me,['northern soul']
Sandie Shaw,(There's) Always Something There To Remind Me,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
Ronnie Milsap,(There's) No Gettin' Over Me,"['classic country pop', 'country', 'country rock', 'nashville sound']"
Carpenters,(They Long To Be) Close To You,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']"
